test,threads,r1,r2,r3,r4,r5,min,max,avg,std
test_01,1,0.000046,0.000050,0.000031,0.000041,0.000038,0.000031,0.000050,0.000041,0.000007
test_01,2,0.000179,0.000231,0.000214,0.000220,0.000213,0.000179,0.000231,0.000211,0.000017
test_01,4,0.000413,0.000441,0.000371,0.000416,0.000397,0.000371,0.000441,0.000408,0.000023
test_01,8,0.000762,0.000772,0.000816,0.000747,0.000748,0.000747,0.000816,0.000769,0.000025
test_01,16,0.001302,0.011258,0.010689,0.001342,0.011184,0.001302,0.011258,0.007155,0.004767
test_01,32,0.012877,0.012944,0.013192,0.013227,0.012754,0.012754,0.013227,0.012999,0.000183
test_02,1,3.940853,3.914681,3.946776,3.968522,3.937599,3.914681,3.968522,3.941686,0.017279
test_02,2,1.983463,1.974200,1.981175,1.971507,1.970902,1.970902,1.983463,1.976249,0.005130
test_02,4,0.993825,0.996598,0.989460,0.988608,0.994717,0.988608,0.996598,0.992642,0.003090
test_02,8,0.503791,0.500359,0.501145,0.500235,0.500145,0.500145,0.503791,0.501135,0.001375
test_02,16,0.251871,0.252875,0.252857,0.252223,0.252475,0.251871,0.252875,0.252460,0.000383
test_02,32,0.131302,0.148995,0.152863,0.133432,0.133177,0.131302,0.152863,0.139954,0.009074
test_03,1,0.000025,0.000038,0.000033,0.000025,0.000033,0.000025,0.000038,0.000031,0.000005
test_03,2,0.000189,0.000216,0.000201,0.000178,0.000200,0.000178,0.000216,0.000197,0.000013
test_03,4,0.000377,0.000361,0.000340,0.000366,0.000353,0.000340,0.000377,0.000359,0.000012
test_03,8,0.000592,0.000600,0.000618,0.000626,0.000599,0.000592,0.000626,0.000607,0.000013
test_03,16,0.003281,0.004505,0.001472,0.003333,0.003308,0.001472,0.004505,0.003180,0.000972
test_03,32,0.005193,0.004458,0.004762,0.004813,0.004958,0.004458,0.005193,0.004837,0.000241
test_04,1,0.000023,0.000055,0.000024,0.000040,0.000039,0.000023,0.000055,0.000036,0.000012
test_04,2,0.000175,0.000193,0.000211,0.000181,0.000199,0.000175,0.000211,0.000192,0.000013
test_04,4,0.000311,0.000369,0.000384,0.000358,0.000368,0.000311,0.000384,0.000358,0.000025
test_04,8,0.000614,0.000585,0.000625,0.000617,0.000624,0.000585,0.000625,0.000613,0.000015
test_04,16,0.003384,0.001141,0.001124,0.003357,0.001182,0.001124,0.003384,0.002038,0.001089
test_04,32,0.004601,0.004495,0.004778,0.004400,0.004539,0.004400,0.004778,0.004563,0.000126
test_05,1,0.000035,0.000035,0.000040,0.000022,0.000045,0.000022,0.000045,0.000035,0.000008
test_05,2,0.000202,0.000163,0.000186,0.000166,0.000199,0.000163,0.000202,0.000183,0.000016
test_05,4,0.000346,0.000345,0.000335,0.000348,0.000361,0.000335,0.000361,0.000347,0.000008
test_05,8,0.000590,0.000590,0.000623,0.000682,0.000601,0.000590,0.000682,0.000617,0.000035
test_05,16,0.003323,0.003294,0.003331,0.003371,0.003307,0.003294,0.003371,0.003325,0.000026
test_05,32,0.005132,0.004646,0.004448,0.005179,0.004488,0.004448,0.005179,0.004779,0.000315
test_06,1,0.000042,0.000026,0.000037,0.000045,0.000036,0.000026,0.000045,0.000037,0.000006
test_06,2,0.000188,0.000162,0.000181,0.000218,0.000197,0.000162,0.000218,0.000189,0.000018
test_06,4,0.000348,0.000350,0.000435,0.000351,0.000373,0.000348,0.000435,0.000371,0.000033
test_06,8,0.000704,0.000619,0.000623,0.000659,0.000614,0.000614,0.000704,0.000644,0.000034
test_06,16,0.001110,0.001133,0.003319,0.003335,0.003302,0.001110,0.003335,0.002440,0.001076
test_06,32,0.005075,0.004817,0.004828,0.005219,0.005565,0.004817,0.005565,0.005101,0.000278
test_07,1,32.283286,32.204773,32.205987,32.203986,32.173462,32.173462,32.283286,32.214299,0.036587
test_07,2,16.170940,16.119752,16.097583,16.165039,16.162647,16.097583,16.170940,16.143192,0.029173
test_07,4,8.096082,8.106017,8.103986,8.086570,8.085585,8.085585,8.106017,8.095648,0.008496
test_07,8,4.051977,4.047258,4.062104,4.062763,4.064393,4.047258,4.064393,4.057699,0.006806
test_07,16,2.044151,2.041927,2.043936,2.038689,2.043966,2.038689,2.044151,2.042534,0.002087
test_07,32,1.072135,1.183697,1.037555,1.033204,1.035417,1.033204,1.183697,1.072402,0.057455
test_08,1,2.356753,2.404416,2.353445,2.344276,2.339998,2.339998,2.404416,2.359778,0.023123
test_08,2,1.498367,1.478699,1.489522,1.498890,1.480559,1.478699,1.498890,1.489207,0.008520
test_08,4,1.197215,1.211929,1.212049,1.212839,1.222612,1.197215,1.222612,1.211329,0.008120
test_08,8,1.045901,1.050795,0.987192,1.041989,1.029904,0.987192,1.050795,1.031156,0.023043
test_08,16,1.046660,1.058622,1.089688,1.075071,1.079070,1.046660,1.089688,1.069822,0.015295
test_08,32,1.099565,1.104528,1.099048,1.107366,1.092567,1.092567,1.107366,1.100615,0.005084
test_09,1,0.000036,0.000026,0.000024,0.000034,0.000025,0.000024,0.000036,0.000029,0.000005
test_09,2,0.000167,0.000193,0.000208,0.000174,0.000193,0.000167,0.000208,0.000187,0.000015
test_09,4,0.000358,0.000341,0.000330,0.000357,0.000363,0.000330,0.000363,0.000350,0.000012
test_09,8,0.000610,0.000611,0.000584,0.000608,0.000612,0.000584,0.000612,0.000605,0.000011
test_09,16,0.001118,0.001118,0.003353,0.001098,0.003302,0.001098,0.003353,0.001998,0.001086
test_09,32,0.004417,0.004529,0.005095,0.004323,0.004633,0.004323,0.005095,0.004599,0.000269
