test,r1,r2,r3,r4,r5,min,max,avg,std
test_01,"0,000028","0,000026","0,000028","0,000027","0,000026","0,000026","0,000028","0,000027","0,000001"
test_02,"52,446131","51,987111","52,108694","52,105056","52,042012","51,987111","52,446131","52,137801","0,160543"
test_03,"0,000004","0,000005","0,000004","0,000003","0,000003","0,000003","0,000005","0,000004","0,000001"
test_04,"0,000003","0,000004","0,000004","0,000004","0,000004","0,000003","0,000004","0,000004","0"
test_05,"0,000004","0,000004","0,000004","0,000003","0,000004","0,000003","0,000004","0,000004","0"
test_06,"0,000004","0,000004","0,000004","0,000004","0,000004","0,000004","0,000004","0,000004","0"
test_07,"439,536272","439,561897","440,160915","439,085835","438,486326","438,486326","440,160915","439,366249","0,55706"
test_08,"13,970039","13,981401","14,992935","13,912905","13,890843","13,890843","14,992935","14,149625","0,423019"
test_09,"0,000003","0,000003","0,000002","0,000002","0,000003","0,000002","0,000003","0,000003","0"


