test,threads,r1,r2,r3,r4,r5,min,max,avg,std
test_01,1,0.004822,0.003974,0.005201,0.005455,0.004924,0.003974,0.005455,0.004875,0.000502
test_01,2,0.005776,0.007006,0.005563,0.005372,0.005611,0.005372,0.007006,0.005866,0.000585
test_01,4,0.005344,0.005218,0.005797,0.005098,0.005806,0.005098,0.005806,0.005453,0.000295
test_01,8,0.006471,0.006520,0.006135,0.006076,0.006215,0.006076,0.006520,0.006283,0.000179
test_01,16,0.007310,0.007973,0.007621,0.007295,0.007930,0.007295,0.007973,0.007626,0.000291
test_01,32,0.010229,0.011473,0.008952,0.010344,0.012584,0.008952,0.012584,0.010716,0.001229
test_02,1,1.013053,1.013611,1.015170,1.014208,1.013282,1.013053,1.015170,1.013865,0.000760
test_02,2,0.511001,0.511179,0.510517,0.510728,0.511912,0.510517,0.511912,0.511067,0.000479
test_02,4,0.259481,0.259655,0.258780,0.259773,0.259553,0.258780,0.259773,0.259448,0.000348
test_02,8,0.134095,0.134236,0.133720,0.134730,0.132679,0.132679,0.134730,0.133892,0.000687
test_02,16,0.070102,0.072214,0.071571,0.071733,0.071169,0.070102,0.072214,0.071358,0.000712
test_02,32,0.054235,0.053510,0.055588,0.054609,0.054563,0.053510,0.055588,0.054501,0.000671
test_03,1,0.005849,0.004645,0.004809,0.004672,0.004764,0.004645,0.005849,0.004948,0.000455
test_03,2,0.004403,0.005357,0.005030,0.004692,0.005970,0.004403,0.005970,0.005090,0.000544
test_03,4,0.004599,0.004804,0.005533,0.005558,0.005244,0.004599,0.005558,0.005148,0.000386
test_03,8,0.006016,0.006265,0.005907,0.005912,0.005758,0.005758,0.006265,0.005972,0.000168
test_03,16,0.007451,0.006770,0.007000,0.007003,0.007363,0.006770,0.007451,0.007117,0.000253
test_03,32,0.010736,0.011158,0.011049,0.008895,0.008615,0.008615,0.011158,0.010091,0.001103
test_04,1,0.005939,0.004931,0.004720,0.004933,0.004755,0.004720,0.005939,0.005056,0.000450
test_04,2,0.005096,0.005237,0.005312,0.005456,0.005064,0.005064,0.005456,0.005233,0.000144
test_04,4,0.005298,0.004324,0.005233,0.006084,0.004698,0.004324,0.006084,0.005127,0.000598
test_04,8,0.004939,0.006653,0.006029,0.005863,0.006309,0.004939,0.006653,0.005959,0.000576
test_04,16,0.007249,0.007157,0.007212,0.007013,0.008254,0.007013,0.008254,0.007377,0.000446
test_04,32,0.009001,0.009724,0.009555,0.009359,0.008826,0.008826,0.009724,0.009293,0.000335
test_05,1,0.004893,0.004991,0.005358,0.004076,0.004793,0.004076,0.005358,0.004822,0.000419
test_05,2,0.004066,0.004113,0.005057,0.005010,0.005429,0.004066,0.005429,0.004735,0.000547
test_05,4,0.005635,0.005409,0.005608,0.005433,0.004286,0.004286,0.005635,0.005274,0.000502
test_05,8,0.006098,0.007023,0.005811,0.006392,0.004848,0.004848,0.007023,0.006034,0.000716
test_05,16,0.007109,0.007604,0.007159,0.007810,0.006965,0.006965,0.007810,0.007329,0.000321
test_05,32,0.008556,0.010985,0.008890,0.009236,0.009002,0.008556,0.010985,0.009334,0.000854
test_06,1,0.004768,0.004401,0.004846,0.004707,0.004661,0.004401,0.004846,0.004677,0.000151
test_06,2,0.005053,0.007052,0.004981,0.005171,0.005829,0.004981,0.007052,0.005617,0.000778
test_06,4,0.005503,0.005228,0.005544,0.006070,0.006371,0.005228,0.006371,0.005743,0.000416
test_06,8,0.005753,0.006466,0.006412,0.004752,0.004944,0.004752,0.006466,0.005665,0.000716
test_06,16,0.007752,0.007151,0.007172,0.006884,0.006561,0.006561,0.007752,0.007104,0.000392
test_06,32,0.008517,0.009458,0.008894,0.008878,0.008693,0.008517,0.009458,0.008888,0.000316
test_07,1,8.366019,8.362613,8.366703,8.372111,8.374114,8.362613,8.374114,8.368312,0.004205
test_07,2,4.209337,4.211061,4.205498,4.205302,4.213269,4.205302,4.213269,4.208893,0.003113
test_07,4,2.114266,2.115801,2.115698,2.114091,2.118946,2.114091,2.118946,2.115760,0.001742
test_07,8,1.070490,1.069205,1.068085,1.069048,1.069691,1.068085,1.070490,1.069304,0.000790
test_07,16,0.544043,0.544068,0.544389,0.542745,0.543003,0.542745,0.544389,0.543650,0.000650
test_07,32,0.378981,0.379469,0.380021,0.379304,0.377993,0.377993,0.380021,0.379154,0.000671
test_08,1,1.438257,1.443874,1.431734,1.434494,1.427611,1.427611,1.443874,1.435194,0.005562
test_08,2,1.198409,1.194699,1.201633,1.196971,1.202807,1.194699,1.202807,1.198904,0.002978
test_08,4,1.050036,1.055918,1.052796,1.064634,1.063639,1.050036,1.064634,1.057405,0.005812
test_08,8,0.958378,0.961355,0.962134,0.965725,0.936823,0.936823,0.965725,0.956883,0.010299
test_08,16,0.957435,0.932230,0.948924,0.956404,0.942320,0.932230,0.957435,0.947463,0.009381
test_08,32,0.916727,0.920501,0.929954,0.926960,0.920790,0.916727,0.929954,0.922986,0.004786
test_09,1,0.005959,0.006194,0.006121,0.005603,0.004888,0.004888,0.006194,0.005753,0.000478
test_09,2,0.005387,0.005269,0.005300,0.005007,0.004946,0.004946,0.005387,0.005182,0.000173
test_09,4,0.005236,0.005215,0.005245,0.005192,0.005316,0.005192,0.005316,0.005241,0.000042
test_09,8,0.004490,0.005978,0.006173,0.005798,0.005562,0.004490,0.006173,0.005600,0.000591
test_09,16,0.006775,0.006732,0.006755,0.006029,0.006741,0.006029,0.006775,0.006606,0.000289
test_09,32,0.009593,0.007890,0.009641,0.011154,0.008732,0.007890,0.011154,0.009402,0.001086
