test,block_size,op_htod_ms,op_dtod_ms,op_dtoh_ms,total_mb,throughput_gbs
test_02,32,0.1417900.000006,0.0098880.000006,0.0178880.000012,1.44,8.2932
test_02,64,0.1423040.000006,0.0099200.000006,0.0183030.000012,1.44,8.2465
test_02,128,0.1408000.000006,0.0098560.000006,0.0167360.000012,1.44,8.4009
test_02,256,0.1549420.000006,0.0099200.000006,0.0174390.000012,1.44,7.7139
test_02,512,0.1427830.000006,0.0099200.000006,0.0187840.000012,1.44,8.2003
test_07,32,0.0193600.000004,0.0388480.000004,0.0120960.000008,16.16,224.4716
test_07,64,0.0155520.000004,0.0384940.000004,0.0113920.000008,16.16,241.1634
test_07,128,0.0162880.000004,0.0379520.000004,0.0121600.000008,16.16,237.6694
test_07,256,0.0147520.000004,0.0382080.000004,0.0114560.000008,16.16,244.9896
test_07,512,0.0159040.000004,0.0379520.000004,0.0127040.000008,16.16,237.0981
test_08,32,0.0018560.000003,5.2548120.000003,0.0085120.000006,1200,222.5707
test_08,64,0.0018880.000003,5.2268450.000003,0.0088320.000006,1200,223.7442
test_08,128,0.0018560.000003,5.2383350.000003,0.0103040.000006,1200,223.1932
test_08,256,0.0018880.000003,5.2195180.000003,0.0087680.000006,1200,224.0604
test_08,512,0.0017920.000003,5.2272280.000003,0.0094080.000006,1200,223.7074
